Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Chemplast Sanmar,chemplastsanmar.com,Chennai,Specialty chemicals / PVC,"Suspension PVC, paste PVC, custom manufactured chemicals (CMC) for global innovator pharma",Rs.300-500Cr,Ramkumar Shankar,MD,B.Tech Chemical Engineering + MBA. Professional MD from Sanmar Group family background.,Strong,Large PVC and CMC manufacturing plants in Tamil Nadu. Dedicated custom synthesis facility.,Strong,HQ Chennai. Manufacturing in Tamil Nadu.,Moderate,"Paste PVC is more differentiated than suspension PVC (niche applications in flooring, coatings). CMC (custom manufacturing) for pharma is differentiated. But PVC is partly commodity.",Moderate,MD has engineering background but is a professional manager within the Sanmar Group. Not an independent founder-promoter.,Moderate,"PVC demand from infrastructure, CMC from global pharma outsourcing. Moderate tailwinds.",Moderate,Revenue Rs.380Cr with flat growth. PVC cycle has been soft. CMC growing but small share. Signals partially met.,55,C — Weak Federer,Borderline,Mixed profile — CMC segment is Federer-like but PVC segment is commodity. Group company structure means promoter dynamic is diluted. Worth monitoring but not top priority.,CMC (custom manufactured chemicals) segment supplies specialty intermediates to global innovator pharma — a differentiated business hidden inside a PVC company.,chemplastsanmar.com; BSE annual report FY24; MCA filings
Hind Rectifiers,hindrectifiers.com,Mumbai,Power electronics / railway,"Rectifiers, traction transformers, IGBT-based power converters for Indian Railways and defence",Rs.100-300Cr,Ramesh Kabra,MD,B.Tech Electrical Engineering. Second-generation technical promoter.,Strong,Manufacturing facility in Mumbai. Produces power electronics hardware in-house.,Strong,HQ and manufacturing in Mumbai.,Strong,"Railway-grade traction transformers and IGBT converters are safety-critical, approved-supplier-only products. Indian Railways is the sole buyer — high barrier to entry.",Strong,MD Ramesh Kabra is second-generation with electrical engineering background. Technical family promoter.,Strong,Indian Railways electrification and modernization. Vande Bharat expansion creating demand for traction electronics.,Moderate,"Revenue Rs.120Cr, moderate growth. Railway orders are lumpy — dependent on tender cycles. Signals partially met.",75,B — Probable Federer,Borderline,Good Federer profile on differentiation and technical promoter. Growth signal is lumpy due to railway tender dependency. Timing of outreach matters — best approached after a large tender announcement.,Approved supplier for traction transformers in Vande Bharat train program — one of very few Indian companies with Indian Railways type approval for IGBT-based converters.,hindrectifiers.com; BSE annual report FY24; Indian Railways type approval records; MCA filings
Diksha Technologies,dikshatech.in,Hyderabad,Defence electronics / embedded systems,"Embedded computing, rugged electronics, electronic warfare support systems for Indian defence",Rs.50-100Cr,K. Subbarao,Founder & MD,"M.Tech Electronics, ex-DRDO scientist. Built company as DRDO spin-off.",Strong,In-house design and manufacturing of rugged embedded systems. Dedicated EMS facility in Hyderabad.,Strong,HQ and manufacturing in Hyderabad.,Strong,Rugged embedded computing for defence — requires DRDO clearances and domain expertise that commercial electronics manufacturers cannot replicate.,Strong,Founder is ex-DRDO M.Tech Electronics — classic technical scientist-founder.,Strong,"Defence electronics indigenization, Make-in-India for military embedded systems.",Strong,"Revenue Rs.85Cr, +35% YoY. New orders from Indian Army and Navy. Actively hiring embedded engineers. Signals met: Financial + Hiring.",95,A — Strong Federer,Strong Pass,"Classic Federer — DRDO scientist-founder building defence electronics from first principles. Small but growing fast, strong domain moat, ideal target for early-stage outreach.",Founder is ex-DRDO scientist who built a company making rugged embedded systems for Indian Army and Navy — growing 35% YoY on rising defence indigenization orders.,dikshatech.in; DRDO vendor registry; MCA filings; LinkedIn founder profile
Kellton Tech (Embedded Division),kelltontech.com,Hyderabad,Embedded systems / IoT,"Embedded software, IoT devices, industrial automation hardware — but primarily IT services company",Rs.100-300Cr,Niranjan Chintam,Co-founder,"B.Tech Computer Science. IT background, not manufacturing.",Fail,"Kellton Tech is primarily an IT services company. The embedded and IoT work is software/services, not hardware manufacturing. No physical product manufacturing.",Strong,HQ Hyderabad.,Fail,IT services company with some embedded software work — not a product manufacturer. Fails C1.,Not scored,Not scored — disqualified at C1.,Not scored,Not scored — disqualified at C1.,Not scored,Not scored — disqualified at C1.,0,D — Auto-disqualify,Fail — Auto-disqualify,IT services company. Fails C1. Common trap — company appears in manufacturing-adjacent searches but is actually a software/services provider. Always verify physical product manufacturing before scoring.,—,kelltontech.com; company description; revenue breakdown in annual report
Bharat Forge (Aerospace Division),bharatforge.com,Pune,Aerospace / defence forgings,"Forged components for aerospace (landing gear, structural), artillery shells, armoured vehicle components",>Rs.500Cr,Baba Kalyani,CMD,B.Tech Mechanical + MS MIT. IIT and MIT-trained technical founder. One of India's most technically accomplished promoters.,Strong,World-class forging facilities in Pune. Dedicated aerospace and defence forging lines.,Strong,HQ and primary manufacturing in Pune.,Strong,Aerospace-grade forgings are extremely high-barrier. Landing gear and artillery components require defence clearances and metallurgical expertise.,Strong,CMD Baba Kalyani is IIT + MIT Mechanical Engineer. Textbook technical promoter at the highest level.,Strong,Aerospace and defence indigenization. India's largest defence forging export opportunity.,Strong,Rs.3000Cr+ revenue. Massive. But growing rapidly into aerospace and defence — those divisions could be separately tracked.,0,D — Auto-disqualify,Fail — Auto-disqualify,Revenue far exceeds Rs.500Cr ceiling. Would score 100/100 on all criteria — but has outgrown the ICP. Note: their Tier-2 supplier ecosystem (smaller forging companies in Pune who supply Bharat Forge) are excellent ICP targets.,—,bharatforge.com; BSE annual report FY24; defence contract disclosures
Genesys International,genesysinternational.com,Mumbai,Geospatial / mapping technology,"Geospatial data products, LiDAR surveys, 3D city models, digital twins — mapping technology manufacturer",Rs.50-100Cr,Sajid Memon,Founder & MD,B.E. Civil Engineering. Built geospatial company from scratch. Technical founder with deep domain expertise in surveying and mapping.,Strong,"Proprietary data acquisition using owned LiDAR and aerial systems. Produces geospatial data products — tangible deliverables, not pure services.",Strong,HQ Mumbai.,Strong,"India's only company with in-house mobile mapping LiDAR at commercial scale. Produces 3D city models for smart city projects — niche, IP-intensive.",Strong,Founder Sajid Memon built the geospatial capability from civil engineering roots. Technical founder-promoter.,Strong,"Smart cities, urban planning digitization, defence mapping, autonomous vehicle HD map requirements.",Moderate,"Revenue Rs.70Cr, moderate growth. Smart city project timelines are lumpy. Signals partially met.",75,B — Probable Federer,Borderline,"Interesting Federer candidate — unique technical capability in geospatial, founder-built, but borderline on revenue and growth signals. Worth tracking as smart city pipeline accelerates.",India's only commercial operator of mobile mapping LiDAR systems — producing 3D city models used in smart city and urban planning projects.,genesysinternational.com; BSE annual report; smart city project references; MCA filings
Yasho Industries,yashoindustries.com,Mumbai,Specialty chemicals / rubber chemicals,"Rubber antioxidants, antiozonants, accelerators — specialty rubber chemicals for tyre and auto industries",Rs.100-300Cr,Yash Jhaveri,MD,B.Sc Chemistry. Second-generation technical promoter from founding family.,Strong,"Manufacturing in Vapi, Gujarat. In-house synthesis of specialty rubber chemicals.",Strong,HQ Mumbai. Manufacturing in Gujarat.,Strong,"Specialty rubber chemicals — antiozonants in particular — are niche, IP-intensive products. Limited global producers. Tyres cannot be made without these.",Strong,MD Yash Jhaveri is second-generation with chemistry background from founding technical family.,Strong,"Tyre industry growth, EV tyre demand (higher rubber content per EV vs ICE), China+1 in rubber chemicals.",Strong,"Revenue Rs.240Cr FY24, +32% YoY. New product launches in accelerators. Export share expanding to Southeast Asia. Signals met: Financial + Exports + Products.",95,A — Strong Federer,Strong Pass,"Clean Federer — specialty rubber chemicals with niche moat, second-generation technical promoter, strong tyre/EV tailwind, consistent high growth. One of the better specialty chemical profiles in Mumbai.","One of few Indian manufacturers of rubber antiozonants — a specialty chemical essential for tyre ozone protection, previously dominated by European imports.",yashoindustries.com; BSE annual report FY24; tyre customer references; export data
Ami Organics,amiorganics.com,Surat,Specialty pharma chemicals,"Advanced pharmaceutical intermediates for CNS, cardiovascular, antiretroviral drugs — specialty synthesis",Rs.100-300Cr,Nareshkumar Patel,Founder & MD,M.Sc Organic Chemistry. Scientist-founder with deep expertise in complex organic synthesis.,Strong,Multiple manufacturing facilities in Gujarat. Dedicated advanced intermediate synthesis plants.,Strong,HQ Surat. Manufacturing in Gujarat.,Strong,Advanced intermediates for CNS and antiretroviral drugs require multi-step synthesis expertise. Not commodity APIs. Regulatory compliance (US FDA approved).,Strong,Founder Nareshkumar Patel is M.Sc Organic Chemistry — textbook scientist-founder.,Strong,"Generic drug pipeline growth globally, India as preferred pharma intermediate source, antiretroviral demand from Africa programs.",Strong,"Revenue Rs.220Cr FY24, +28% YoY. Acquired Gujarat Organics for inorganic growth. New products in CNS intermediates. Signals met: Financial + Acquisitions + Products.",100,A — Strong Federer,Strong Pass,"Textbook Federer — M.Sc chemist-founder, genuine synthesis expertise in complex intermediates, strong pharma tailwind, growing both organically and through acquisition.",M.Sc Organic Chemistry founder building advanced intermediates for CNS drugs — one of India's few specialty pharma intermediate suppliers with a US FDA approved plant.,amiorganics.com; BSE annual report FY24; US FDA facility database; Gujarat Organics acquisition filing
Sansera Engineering,sansera.in,Bangalore,Precision forging / aerospace components,"Precision forged and machined components for aerospace, defence, EV drivetrain — critical structural parts",Rs.300-500Cr,S Sekhar Vasan,MD,B.Tech Mechanical Engineering. Technical MD with deep manufacturing background.,Strong,State-of-the-art forging and precision machining in Bangalore and Pune. AS9100 certified aerospace line.,Strong,HQ and primary manufacturing in Bangalore.,Strong,"Precision aerospace forgings and EV drivetrain components — both high barrier. Safran, Honeywell, Boeing supply chain member.",Strong,MD S Sekhar Vasan has mechanical engineering background. Technical leadership.,Strong,"Aerospace recovery globally, EV transition creating new precision component demand, China+1 in aerospace supply chains.",Strong,"Revenue Rs.450Cr FY24, +20% YoY. Dedicated EV component line commissioned. New aerospace customer additions. Signals met: Financial + Facility + Customers.",95,A — Strong Federer,Strong Pass,"Very strong Federer — aerospace and EV precision components at intersection of two major tailwinds, technical MD, Safran/Boeing supply chain access, consistent growth.",Supplies precision forgings directly into Safran and Honeywell aerospace programs — one of India's few Tier-1 aerospace forging suppliers with AS9100 certification.,sansera.in; BSE annual report FY24; Safran and Honeywell supplier references; AS9100 certification records
Shilchar Technologies,shilchar.com,Vadodara,Power electronics / transformers,"Specialty transformers — EV charging transformers, solar inverter transformers, industrial high-frequency transformers",Rs.100-300Cr,Arvind Mistry,Founder & MD,B.E. Electrical Engineering. Technical founder with 30+ years in specialty transformer design.,Strong,"Manufacturing in Ankleshwar, Gujarat. Designs and makes specialty transformers in-house.",Strong,HQ and manufacturing in Gujarat.,Strong,EV charging and solar inverter transformers are not commodity distribution transformers. Requires application-specific design expertise. Export to US and Europe.,Strong,Founder Arvind Mistry is B.E. Electrical with deep transformer design expertise. Technical founder-promoter.,Strong,"EV charging infrastructure boom, solar energy transition, industrial automation — specialty transformers needed across all three.",Strong,"Revenue Rs.180Cr FY24, +42% YoY. Record order backlog. Exports to Europe growing. New transformer designs for EV charging being qualified. Signals met: Financial + Orders + Exports.",100,A — Strong Federer,Strong Pass,"Outstanding Federer — technical founder with 30-year transformer design expertise, exactly the right products for EV and solar tailwinds, 42% revenue growth, growing European export presence.",Technical founder with 30 years of specialty transformer design now supplying EV charging transformers to European customers — operating in three parallel tailwind markets.,shilchar.com; BSE annual report FY24; export documentation; EV customer references
Sterile India,sterilebiotech.com,Ahmedabad,Pharmaceutical / injectable manufacturing,"Sterile injectables, lyophilized products, ophthalmic preparations — specialty pharma dosage forms",Rs.50-100Cr,Dr. Nilesh Patel,Founder & MD,B.Pharm + PhD Pharmaceutics. Scientist-founder with deep expertise in sterile formulation technology.,Strong,WHO-GMP and EU-GMP certified sterile manufacturing facility in Ahmedabad.,Strong,HQ and manufacturing in Gujarat.,Strong,Sterile injectables and lyophilized products require clean room manufacturing and specialized equipment. High regulatory barrier — very few MSMEs hold EU-GMP for sterile.,Strong,Founder Dr. Nilesh Patel is PhD Pharmaceutics — classic scientist-founder in pharma.,Strong,"Sterile formulations are global priority — shortage of suppliers post-COVID, India being preferred source for regulated markets.",Moderate,"Revenue Rs.75Cr, growing steadily. EU-GMP certification is recent signal. Export inquiries growing but not yet converted to major contracts. Signals met: Certifications.",80,A — Strong Federer,Strong Pass,"Strong Federer — PhD founder, EU-GMP certified sterile plant (extremely rare at this size), strong regulated market tailwind. Early-stage but high potential outreach target.",PhD founder running one of India's few MSME-scale sterile injectable plants with EU-GMP certification — a rare compliance credential that opens regulated market export.,sterilebiotech.com; WHO-GMP certificate; EU-GMP database; MCA filings
Walchandnagar Industries,walind.com,Pune,Heavy engineering / defence,"Propulsion systems for nuclear submarines, defence heavy engineering, aerospace structures — strategic national programs",Rs.100-300Cr,Chakor Doshi,MD,B.Tech Mechanical Engineering. Third-generation promoter from historic Indian engineering family.,Strong,"100-year-old heavy engineering facility in Walchandnagar, Maharashtra. Handles nuclear-grade heavy machining.",Strong,HQ and manufacturing in Maharashtra.,Strong,Nuclear submarine propulsion systems are the highest-barrier manufacturing in India — only a handful of companies in the world can do this. Strategic national asset.,Strong,MD Chakor Doshi has mechanical engineering background. Promoter-driven legacy engineering company.,Strong,"Defence indigenization including nuclear submarine program (Project 75), strategic heavy engineering cannot be imported.",Moderate,"Revenue Rs.180Cr, but growth is lumpy. Defence program timelines drive revenue recognition. Some signals met but inconsistent.",80,A — Strong Federer,Strong Pass,Exceptional differentiation — nuclear submarine propulsion is among the most technically demanding manufacturing anywhere. Growth is lumpy but the programme depth is extraordinary. High-priority niche target.,One of only a handful of companies globally capable of manufacturing nuclear submarine propulsion components — a strategic capability built over 100 years in Walchandnagar.,walind.com; BSE annual report FY24; MCA filings; defence program references
Tatva Chintan Pharma,tatvachintan.com,Vadodara,Specialty chemicals / green chemistry,"Structure-directing agents, Phase Transfer Catalysts, PASC — specialty green chemistry molecules",Rs.100-300Cr,Dr. Chintan Shah,Founder & MD,PhD Organic Chemistry. Classic scientist-founder — built company entirely from chemistry expertise.,Strong,"Manufacturing in Dahej, Gujarat. In-house synthesis of specialty catalysts and SDAs.",Strong,HQ Vadodara. Manufacturing in Gujarat.,Strong,Structure-directing agents for zeolite synthesis — extremely niche molecules used in oil refining catalyst manufacturing. Very few global producers.,Strong,Founder Dr. Chintan Shah is PhD Organic Chemistry — textbook scientist-founder.,Strong,"Green chemistry transition, zeolite demand from refining and petrochemicals, Phase Transfer Catalysts for pharma synthesis.",Moderate,"Revenue Rs.185Cr, flat-to-slight decline due to SDA demand slowdown from China refinery slowdown. Core moat intact. Signals: Exports maintained, but financial growth paused.",75,B — Probable Federer,Borderline,Strong Federer on C3 and C4 — PhD founder with world-class niche in SDAs and PTCs. Revenue is flat due to external cycle (China refinery). Timing-sensitive target — worth approaching as cycle turns.,PhD founder running one of the world's few manufacturers of structure-directing agents used in refinery catalyst production — a specialty chemical with almost no Indian competitors.,tatvachintan.com; BSE annual report FY24; customer references in zeolite synthesis
